"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Cluster","ClusterName"
"GO:0016236","macroautophagy",299,-0.178944570652214,-3.12839206393936,5.777917163106e-07,0.00172664629349675,0.00154549958235242,4043,"tags=48%, list=32%, signal=34%","SPTLC1/ATP6V1A/FKBP8/ZFYVE26/ATP6V0E1/VTI1B/SLC25A4/VPS28/SPATA33/SREBF2/UCHL1/AKT1/IFT88/PIK3CA/ATP6V1E1/ELAPOR1/EPG5/EPHB2/SQSTM1/RHEB/CLN3/GABARAPL2/TSC2/HTRA2/ATP6V1B2/UBA5/ARL8B/ARFIP2/MTOR/ATP13A2/FEZ2/BNIP3/CHMP1A/RAB5A/VPS13D/HGS/GABARAPL1/UBXN6/ATG2B/VPS4B/CDK5/CHMP2A/ARHGAP26/SUPT5H/SPTLC2/BECN1/VPS33A/TOMM7/VPS37A/AUP1/NRBP2/ATG16L2/WDR24/CDC37/TSG101/PRKN/ATG3/PRKACA/SRC/VPS4A/ATG16L1/ULK1/SNX14/CDK5RAP3/ATG9A/STX12/MAP1LC3B/PDCD6IP/ZNRF1/FYCO1/LGALS8/AP5Z1/LRSAM1/NSFL1C/ATP6V1H/CALCOCO2/WIPI2/VPS37C/CHMP3/VMP1/UBXN2A/ATP6V1G2/ATG4B/CTTN/TBK1/ATG7/RETREG2/EPM2A/NIPSNAP1/VPS35/PIK3C2B/TSPO/RAB2A/ATP6V0B/MTMR14/ATP6V0A1/RNF213/TMEM41B/SCFD1/GPSM1/ATG101/PACS2/CHMP6/PHB2/WAC/PSEN1/SNF8/ATP2A2/FBXW7/EXOC1/MVB12A/GAPDH/FEZ1/WDFY3/NPC1/LRRK2/RETREG1/RNF31/TBC1D5/CHMP4A/VPS36/VTI1A/UFM1/EI24/CHMP2B/EXOC7/CLEC16A/VPS37B/HTT/ATG13/KLHL3/USP36/ATG2A/MFSD8/VCP/PLEKHM1/SPG11/MAPK8/DDRGK1/ATP6V0E2/EIF2AK1/RUBCN/TSC1/DELE1/MCOLN1",1,"Peak"
"GO:0046034","ATP metabolic process",165,-0.220198562478067,-3.09062198367802,8.85005788568296e-07,0.00172664629349675,0.00154549958235242,3819,"tags=50%, list=30%, signal=36%","OGDHL/ATP5PD/UCHL1/GPI/NDUFA7/HSPA8/ATP5PF/OGDH/ALDOC/PKM/ATP5PO/PFKM/NDUFS1/ATP5MC3/ENO2/NDUFS8/ATP6V1B2/ATP1A2/MTOR/ATP1B1/NDUFS7/TGFB1/ATP5MF/NDUFB8/DNAJC30/INSR/GALK1/ALDOA/NDUFC2/UQCC3/ATP5F1D/ATP5F1C/NDUFB5/NDUFC1/LDHA/PRKACA/NDUFAB1/NDUFB2/SRC/NDUFB9/ATP5MJ/SDHA/PRKAG1/NUDT2/SIRT6/SDHB/EP300/ENO1/FOXK2/MLST8/ATP5F1A/AK5/RPTOR/HTR2A/TSPO/NDUFA5/PFKP/NDUFA11/NDUFS4/HDAC4/DMAC2L/NDUFB4/PSEN1/NDUFA3/NDUFV1/NDUFS3/GAPDH/COX11/NDUFS6/NDUFA9/AK2/ABCC9/ADPGK/OLA1/PRKAG2/GIT1/FIGNL1/ENO4/FKRP/FLCN/MFSD8/VCP/CLPX",1,"Peak"
"GO:0002181","cytoplasmic translation",143,0.236567211026758,2.86682983145268,4.65837394473859e-06,0.00605899171078999,0.00542332798197987,5506,"tags=66%, list=44%, signal=38%","METTL3/PABPC1/SYNCRIP/NMNAT2/RPL34/RPS14/NCK1/RPL4/SLBP/RPL9/RPSA/RBM4/RPS13/RPS5/RPL23/RPS16/EEF1D/RPL31/UBA52/RPL23A/RPL3/RPS3/RPL28/RPS23/RPL27A/RPL15/CPEB2/RPL17/RPL18/CPEB3/RPS15A/EIF3J/RPL37A/RPL11/RWDD1/UNK/RPS26/RPL22/RPL32/RPS6/HNRNPD/DHX29/RPS7/RPL36/RPL37/RPL7/RACK1/RPL14/RPL24/RPL35A/EIF3A/RPL18A/EIF3L/EIF3B/RPL21/NCBP2/RPL38/RPS19/PARP16/RPL41/CNBP/RPL12/RPS18/EIF5/EIF2D/RPLP0/RPS2/RPL26L1/RPS24/RPLP1/RPL13A/CPEB1/EIF3I/CPEB4/RPL6/RBM24/RPS10/RPS15/RPS27/RPS17/EIF2B5/YBX1/YBX3/RPL13/PAIP1/RPL5/RPS8/EIF3H/RPLP2/RPL30/RPL27/GTPBP1/EIF2B2/IMPACT",1,"Peak"
"GO:0006754","ATP biosynthetic process",73,-0.297687011338159,-2.91712379757363,1.45951633940999e-05,0.00787130593327488,0.00704550786010037,4036,"tags=59%, list=32%, signal=40%","ATP6V1A/SPHK2/ATP5PD/NDUFA7/ATP5PF/ATP5PO/NDUFS1/ATP5MC3/NDUFS8/NDUFS7/TGFB1/ATP5MF/NDUFB8/DNAJC30/ALDOA/NDUFC2/UQCC3/ATP5F1D/ATP5F1C/NDUFB5/NDUFC1/NDUFAB1/NDUFB2/NDUFB9/ATP5MJ/SDHA/NUDT2/SDHB/ENO1/ATP5F1A/NDUFA5/NDUFA11/NDUFS4/DMAC2L/NDUFB4/NDUFA3/NDUFV1/NDUFS3/COX11/NDUFS6/NDUFA9/PRKAG2/VCP",1,"Peak"
"GO:0006891","intra-Golgi vesicle-mediated transport",28,-0.472751703947713,-2.91523067102573,8.30664308701966e-06,0.00787130593327488,0.00704550786010037,4072,"tags=79%, list=32%, signal=53%","COG5/VTI1B/COPE/NAPG/GOSR2/COG4/GABARAPL2/NAPA/RAB6A/COPG1/COG1/COPZ1/COPA/COG7/COG8/COG2/COPB1/GOSR1/COPB2/VTI1A/CUX1/TRAPPC3",1,"Peak"
"GO:0009144","purine nucleoside triphosphate metabolic process",194,-0.188802295010597,-2.79114581450389,1.8402774854385e-05,0.00787130593327488,0.00704550786010037,3819,"tags=47%, list=30%, signal=34%","OGDHL/ATP5PD/UCHL1/GPI/NDUFA7/HSPA8/ATP5PF/OGDH/ALDOC/PKM/ATP5PO/PFKM/NDUFS1/ATP5MC3/NME7/ENO2/NDUFS8/ATP6V1B2/ATP1A2/MTOR/ATP1B1/NDUFS7/RHOQ/TGFB1/ATP5MF/NDUFB8/DNAJC30/INSR/GALK1/ALDOA/NDUFC2/UQCC3/ATP5F1D/ATP5F1C/NDUFB5/NDUFC1/LDHA/PRKACA/DGUOK/NDUFAB1/NDUFB2/SRC/NDUFB9/ATP5MJ/SDHA/PRKAG1/NUDT2/SIRT6/SDHB/ADA/EP300/ENO1/FOXK2/MLST8/ATP5F1A/AK5/RPTOR/HTR2A/GUK1/TSPO/NDUFA5/PFKP/NDUFA11/NDUFS4/HDAC4/DMAC2L/NDUFB4/PSEN1/NDUFA3/NDUFV1/NDUFS3/IMPDH1/GAPDH/COX11/LRRK2/NDUFS6/NDUFA9/AK2/ABCC9/ADPGK/OLA1/PRKAG2/GIT1/FIGNL1/ENO4/NME1/FKRP/FLCN/MFSD8/VCP/NME5/CLPX",1,"Peak"
"GO:0009205","purine ribonucleoside triphosphate metabolic process",187,-0.191027762696108,-2.78287782427942,1.64657632287787e-05,0.00787130593327488,0.00704550786010037,3819,"tags=48%, list=30%, signal=34%","OGDHL/ATP5PD/UCHL1/GPI/NDUFA7/HSPA8/ATP5PF/OGDH/ALDOC/PKM/ATP5PO/PFKM/NDUFS1/ATP5MC3/NME7/ENO2/NDUFS8/ATP6V1B2/ATP1A2/MTOR/ATP1B1/NDUFS7/RHOQ/TGFB1/ATP5MF/NDUFB8/DNAJC30/INSR/GALK1/ALDOA/NDUFC2/UQCC3/ATP5F1D/ATP5F1C/NDUFB5/NDUFC1/LDHA/PRKACA/NDUFAB1/NDUFB2/SRC/NDUFB9/ATP5MJ/SDHA/PRKAG1/NUDT2/SIRT6/SDHB/EP300/ENO1/FOXK2/MLST8/ATP5F1A/AK5/RPTOR/HTR2A/TSPO/NDUFA5/PFKP/NDUFA11/NDUFS4/HDAC4/DMAC2L/NDUFB4/PSEN1/NDUFA3/NDUFV1/NDUFS3/IMPDH1/GAPDH/COX11/LRRK2/NDUFS6/NDUFA9/AK2/ABCC9/ADPGK/OLA1/PRKAG2/GIT1/FIGNL1/ENO4/NME1/FKRP/FLCN/MFSD8/VCP/NME5/CLPX",1,"Peak"
"GO:0061919","process utilizing autophagic mechanism",465,-0.127614865638804,-2.6158338841702,2.21897399451624e-05,0.00787130593327488,0.00704550786010037,4054,"tags=43%, list=32%, signal=31%","VPS18/SPTLC1/ATP6V1A/FKBP8/ZFYVE26/ATP6V0E1/VTI1B/SLC25A4/BCL2/VPS28/SPATA33/SREBF2/UCHL1/AKT1/USP20/GPR137/IFT88/PIK3CA/HSPA8/ATP6V1E1/ELAPOR1/EPG5/MET/EPHB2/SQSTM1/RHEB/CLN3/GABARAPL2/TSC2/VPS51/HTRA2/OSBPL7/ATP6V1B2/NPRL2/UBA5/ARL8B/ARFIP2/MTOR/ATP13A2/FEZ2/DAP/BNIP3/CHMP1A/RAB5A/VPS13D/HGS/GABARAPL1/UBXN6/ATG2B/VPS4B/CDK5/CHMP2A/ARHGAP26/SUPT5H/SPTLC2/BECN1/VPS33A/TOMM7/VPS37A/CTSA/EIF4G1/AUP1/TRAPPC4/NRBP2/PRKD1/ATG16L2/WDR24/CDC37/TSG101/PRKN/ATG3/PRKACA/SRC/VPS4A/ATG16L1/ULK1/SNX14/BOK/CDK5RAP3/ATG9A/STX12/MAP1LC3B/HGF/PDCD6IP/ZNRF1/EP300/MTCL1/FYCO1/FOXK2/LGALS8/AP5Z1/LRSAM1/MLST8/NSFL1C/TRIM5/MARK2/ATP6V1H/CALCOCO2/STK38L/WIPI2/VPS37C/CHMP3/VMP1/UBXN2A/ATP6V1G2/ATG4B/CTTN/MAP1S/TBK1/ATG7/RPTOR/RETREG2/EPM2A/NIPSNAP1/CCNY/RAB8A/VPS35/HERC1/PIK3C2B/TSPO/RAB2A/ATP6V0B/TECPR2/TMBIM6/MTMR14/ATP6V0A1/RNF213/TMEM41B/EEF1A2/SCFD1/GPSM1/ATG101/PACS2/CHMP6/USP33/PHB2/WAC/PSEN1/SNF8/ATP2A2/FBXW7/EXOC1/RAB24/MVB12A/SIRT2/RRAGC/PIK3R2/GAPDH/RMC1/FEZ1/WDFY3/NPC1/FBXL2/LRRK2/RETREG1/RNF31/TBC1D5/SETD2/RNF152/CHMP4A/VPS36/VTI1A/GRAMD1A/TRIM27/WASHC1/UFM1/EI24/WDR6/CHMP2B/CLTC/ROCK1/EXOC7/CLEC16A/VPS37B/HTT/ATG13/KLHL3/HSP90AA1/USP36/ZNF418/ATG2A/GSK3B/FLCN/MFSD8/VCP/PLEKHM1/SPG11/USP10/TMEM208/TICAM1/MAPK8/DDRGK1/UBR4/ATP6V0E2/TRIM65/EIF2AK1/RUBCN/TSC1/DELE1/LRPPRC/DAPK1/MCOLN1",1,"Peak"
"GO:0043161","proteasome-mediated ubiquitin-dependent protein catabolic process",351,-0.140805668229897,-2.5856127743946,1.87094877686247e-05,0.00787130593327488,0.00704550786010037,4455,"tags=48%, list=35%, signal=32%","ZNF598/FBXO7/PSMB7/KAT5/HECTD3/CBFA2T3/KLHL17/PSMB10/CUL1/PSMB6/USP5/UBXN1/RNF187/RNF7/ANAPC16/UFD1/DMAC2/TOPORS/CSNK1A1/SYVN1/PSMD8/KLHL5/BFAR/NFE2L2/UCHL1/AKT1/SHARPIN/NHLRC3/CSNK2B/PEX10/UBXN11/PSMC6/TRIM3/ANKRD9/NPLOC4/KCTD17/ANAPC11/FHIT/ZSWIM8/NUB1/DVL1/DNAJB2/PPP2CB/UBE2S/PSMC3/FBXO31/RBX1/PSMC4/DESI1/PSMD13/RNF10/PSMA7/KLHDC2/GIPC1/PRKN/SKP1/COMMD1/PSMA6/CAMLG/KLHL42/PSMC5/CTNNB1/PSMD7/ARRB1/TNFAIP1/SIRT6/PSMA3/FBXL5/ZNRF1/CRBN/RNF126/UBR5/NSFL1C/PSMD3/FBXL17/UBE2H/KLHL29/RNF170/PSMA4/ASB1/FBXO9/PSMD1/TF/ZFAND2A/PSMD2/PSMD6/UBXN2A/TRIM28/CCNF/NEMF/BTRC/KLHL7/WWP1/UBR3/EPM2A/KLHL24/RFFL/CDC16/UBE3D/UBE4B/FBXO2/PSMA1/APC/SMARCC1/CSNK1E/KCTD10/CDC23/FAF2/ZER1/WAC/FBXO22/RMND5B/PSEN1/DDA1/KLHL18/PSMD4/FBXO6/PSMC1/FBXW7/BAG6/MAPK9/ARRB2/PPP2R5C/SIRT2/TAF9/UBE3A/PSMC2/NEDD4L/XPO1/TRAF4/FBXL2/KCTD2/HERC2/ZFAND2B/LRRK2/PIAS1/PSMD12/CUL2/ANAPC2/FBXO11/KBTBD3/BIRC2/ARMC8/CLOCK/WWP2/TBL1XR1/PSMB4/TRIM2/KLHL3/FBXL16/RNF145/ELOB/ZNF418/GAN/HECTD1/GSK3B/CUL3/VCP/HSPBP1/ANAPC5/DDRGK1/TRIP12/UBR4/DCAF13/SPOP/CDC27/ARIH2",1,"Peak"
"GO:0120039","plasma membrane bounded cell projection morphogenesis",499,-0.122542731064823,-2.55740117086304,1.57742248878916e-05,0.00787130593327488,0.00704550786010037,3313,"tags=36%, list=26%, signal=28%","ZNF335/KIF5C/CTNNA2/ABITRAM/MAP2K2/DVL1/PTK7/EGFR/FLOT1/FEZ2/STXBP1/TSC22D4/DTNBP1/ADAM17/BRSK1/CCK/ACTB/MINK1/ADORA2A/NSMF/EFNA5/CD44/CDK5/NOTCH3/TIAM2/NOTCH2/SLIT3/BOC/BRSK2/DOCK10/PRKN/NCAM1/KIRREL3/SRC/FZD3/PAFAH1B1/ULK1/CTNNB1/VEGFA/KANK1/RAPGEF2/PICALM/NPTX1/NRP1/RGMA/PPP1R12B/SEMA4G/BMP7/TMEM106B/SPP1/PPFIA2/TRAK1/CLSTN3/ROBO3/EVL/MARK2/CPNE6/PDLIM5/EMB/DVL2/CNTN4/TBR1/S100B/NECTIN1/TUBB2B/CHRNA7/ABI1/SKIL/RERE/PTPN11/CTTN/MAP1S/MT3/CNTNAP2/ARHGAP44/TANC2/ALS2/RAB8A/LGI1/CAPRIN2/TOP2B/SMAD4/PAX6/EPHB1/SYNGAP1/PHACTR1/USP33/NFIB/METRN/NGEF/CORO1B/PSEN1/SGK1/DHX36/ARPIN/CDH11/ROBO4/TTL/NELL2/NUMB/ATL1/NDEL1/PLEKHO1/PAK1/MAG/UBE3A/PRKCZ/NEDD4L/NCKAP1/KALRN/FEZ1/OLFM1/IST1/UNC5D/SLC23A2/PLXNB2/PTEN/LRRK2/NEGR1/MAP6/PLXNA2/TNIK/MEF2A/CC2D1A/NOTCH1/TUBB3/ANAPC2/SEMA3B/DIP2B/PCDHAC2/BCL11A/BRAF/IFRD1/CHL1/STAU2/PDPN/MYCBP2/CUX1/RUFY3/KNDC1/CD2AP/ROCK1/NFASC/EPHA7/SOS1/NRDC/STK25/DCLK1/DICER1/SEMA6D/DLG4/ALCAM/PLXND1/AUTS2/CLASP2/SPAST/CPNE1/PLXNC1/GSK3B/SPTBN4/NEK3/LHX2/PTPRZ1/EPB41L3/SLIT1/NYAP2/ARHGEF40/SPG11/DAG1/MAP4K4/SHANK1/CNTN2/AFG3L2/ANK3/NRXN1/SZT2/SRGAP2/SNX2/FLRT2/CNP/KIDINS220",1,"Peak"
