"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Cluster","ClusterName"
"hsa05016","Huntington disease",231,-0.200845849530243,-3.09432523436179,1.62485272634546e-07,4.98829786988056e-05,4.27592822722489e-05,4256,"tags=55%, list=37%, signal=35%","516/5468/7802/10382/30849/5695/1212/5694/1175/64764/1211/7846/291/5714/27089/10476/5439/56901/7384/4701/1173/5706/522/10126/5440/5435/23186/539/5609/4719/518/3800/4728/7388/2475/2891/10121/374291/246721/9167/4714/5702/10975/55102/54205/4718/10540/513/5432/5704/509/84790/4697/4711/5719/8678/1345/4717/5688/10105/1537/5332/5441/4706/4708/5687/4715/5705/8408/5713/6389/7277/5430/5684/6390/2033/6908/7419/5709/5685/5707/26100/498/347733/10671/5708/9861/160/4294/5602/2893/2902/4698/5682/126328/60673/4724/55860/4710/5710/89953/5700/5601/4696/4723/4722/196385/5701/11258/317/5718/10381/4726/4704/581/6506/1213/548644/7280/1387/5692/3064/9776/1742/23130/5599/2890",1,"Peak"
"hsa05171","Coronavirus disease - COVID-19",143,0.242901857865877,2.95530786159761,1.39890325490721e-06,0.000154898500865343,0.000132777730897774,5029,"tags=66%, list=43%, signal=38%","103/6164/6208/4793/100526842/5291/6124/718/6133/5595/3921/3570/6207/6193/4790/9349/1839/5579/7132/6217/5295/6160/7311/5610/6147/6122/6188/6158/6228/6157/6138/6139/6141/4599/6210/10747/715/6168/6135/8503/1432/5970/6885/6231/6146/6161/6194/6201/25873/6167/3454/5582/6129/9045/6152/2212/6165/6142/51187/720/7099/6144/5293/6169/6223/6774/7189/6171/6136/6222/721/3716/6175/6187/51121/6229/6176/23521/23118/6128/6204/6209/6773/5603/6232/100529239/6218/6137/6125/6202/6181/6156/712/6155",1,"Peak"
"hsa05010","Alzheimer disease",265,-0.175801103982617,-2.88043102105485,1.51366613223462e-06,0.000154898500865343,0.000132777730897774,3691,"tags=48%, list=32%, signal=33%","4040/1452/291/5714/27089/10476/824/207/56901/7384/4701/1460/5290/5604/5706/522/91252/201266/539/5609/4719/518/468/3800/4728/5605/7388/1855/2475/374291/6868/9167/4714/5702/3643/10975/55102/54205/4718/1020/513/5704/5594/509/84790/4023/4697/8883/4711/4035/5719/8678/1345/4717/5688/10105/1537/5332/29985/4706/4708/7976/10000/5687/4715/9451/5705/8408/1499/5713/6389/7277/5684/6390/7419/5709/1856/5685/5707/26100/498/347733/1139/5708/9861/5602/2902/4698/57181/5682/1147/324/126328/1454/60673/4724/5894/4710/5663/5710/89953/488/208/5700/5601/4696/4723/4722/5296/5701/2597/317/5718/10381/4726/3551/4704/673/23621/7280/5692/9776/23130/2932/355/5599",1,"Peak"
"hsa03010","Ribosome",142,0.234125276780598,2.84972882645922,2.76338767262902e-06,0.000212090003874278,0.000181801820567699,5029,"tags=64%, list=43%, signal=37%","64981/6164/6208/29093/100526842/6124/6133/3921/124995/6207/6193/9349/6217/64951/6160/6183/7311/6147/6122/6188/6158/23107/6228/6157/6138/6139/6141/51264/6210/64432/6168/6135/10573/7818/740/54948/6231/6146/6161/6194/6201/25873/65080/6167/51649/6129/10399/9045/6152/6165/28973/6142/51187/54534/6144/6169/6223/79590/51318/6171/6136/6222/63931/84545/6175/6187/51121/6229/6176/23521/51116/6128/10240/6150/6204/6209/10884/6232/100529239/6218/64949/6137/28977/6125/60488/51373/54460/6202/6181/6156/6155",1,"Peak"
"hsa00190","Oxidative phosphorylation",91,-0.268131507372802,-2.84030385565549,4.67248674397195e-06,0.000273982964695235,0.000234855961508002,3812,"tags=57%, list=33%, signal=39%","523/5464/8992/27089/10476/56901/7384/4701/522/529/539/4719/518/4728/526/7388/374291/9551/9167/4714/10975/54205/4718/513/509/4697/4711/1345/4717/1537/4706/4708/4715/6389/6390/51606/498/534/4698/533/535/126328/4724/4710/4696/4723/4722/1353/27068/4726/4704/155066",1,"Peak"
"hsa05022","Pathways of neurodegeneration - multiple diseases",336,-0.152014528187528,-2.73981933394751,5.35471592238245e-06,0.000273982964695235,0.000234855961508002,3713,"tags=46%, list=32%, signal=32%","5335/4040/1452/291/5714/596/27089/10476/7345/824/56901/7384/4701/1460/5604/5706/522/10126/11273/539/8878/5609/4719/518/6712/468/27429/3800/4728/5605/7388/1855/2475/2891/10121/374291/7327/9167/4714/5702/5868/817/10975/55102/54205/4718/1020/10540/513/5704/5594/509/84790/4697/4711/5719/8678/1345/4717/5688/10105/10010/1537/5332/5071/4706/4708/7976/5687/4715/9451/5705/8408/1499/5713/6389/6311/7277/81631/5684/6390/7419/7316/3309/5709/1856/5685/5707/26100/498/347733/1139/10671/5708/9861/29110/57679/4218/4294/5602/2893/2902/4698/5682/324/84134/126328/1454/60673/4724/55860/5894/4710/5663/5710/89953/488/5700/5601/4696/4723/4722/196385/6233/5701/120892/11258/1616/317/5718/10381/4726/4704/581/25978/673/9896/7280/2911/5692/3064/9776/1742/23130/2932/355/5578/7415/815/80208/5599/5608/2890",1,"Peak"
"hsa05208","Chemical carcinogenesis - reactive oxygen species",166,-0.201153467849537,-2.77144671536276,1.0438040701478e-05,0.000436544384342801,0.000374202283852907,3677,"tags=50%, list=32%, signal=35%","291/27089/10476/4780/207/56901/7384/4701/8644/5290/5604/522/4233/539/25865/5609/4719/518/119391/5170/4728/10327/5605/7388/1956/374291/9167/4714/10975/4718/513/5594/509/10861/4697/4711/5338/1345/4717/10105/5587/1537/2885/4706/4708/6714/10000/4257/4715/7422/6416/6389/6390/3082/7419/2949/498/5781/5602/4698/1147/126328/4724/5894/4710/208/5601/2353/4696/4723/4722/5296/23683/5728/4259/4726/3551/4704/673/253152/6654/65010/5599",1,"Peak"
"hsa05012","Parkinson disease",199,-0.183308047616436,-2.7270896972824,1.17296457290659e-05,0.000436544384342801,0.000374202283852907,3768,"tags=49%, list=33%, signal=34%","7846/5335/291/5714/27089/10476/4780/7345/56901/7384/4701/5706/522/91252/201266/539/4719/518/468/27429/3800/4728/7388/374291/7327/9167/4714/5702/135/817/10975/54205/4718/513/5704/509/84790/4697/4711/5719/1345/4717/5688/10105/1537/5071/29985/5566/4706/4708/5687/4715/9451/5705/5713/6389/7277/5684/6390/7419/7316/3309/5709/5685/5707/498/347733/5708/9861/5602/4698/57181/5682/126328/4724/4710/5710/89953/5700/5601/4696/4723/4722/2770/6233/5701/120892/1616/317/5718/10381/4726/4704/581/7280/5692/815/5599",1,"Peak"
"hsa05014","Amyotrophic lateral sclerosis",272,-0.16109861334966,-2.65413733802061,1.41396588126599e-05,0.000436544384342801,0.000374202283852907,3674,"tags=46%, list=32%, signal=32%","5714/596/27089/10718/10476/56901/7384/4701/5706/522/10126/11273/539/8878/4719/518/468/10762/3800/4728/7388/2475/2891/10121/374291/9167/60/4714/5702/5868/10975/55102/54205/4718/10540/513/57122/5704/509/84790/4697/4711/5719/311/8678/1345/4717/5688/10010/1537/5071/23511/4706/4708/5687/4715/9451/5705/8408/5713/6389/6311/2733/7277/81631/5684/6390/3309/5709/5685/5707/26100/498/347733/10671/5708/9861/29110/57679/4218/3084/2902/4698/5682/84134/126328/9631/6396/60673/4724/55860/4710/5710/89953/5700/4696/4723/4722/196385/5701/23225/11258/1616/317/5718/10381/4726/4704/581/8480/25978/6506/9896/7280/5692/9776/4686/9688/23130/7415/2066/80208/5608/8021/2890",1,"Peak"
"hsa05020","Prion disease",193,-0.183033995038038,-2.64782056263557,1.42196867864105e-05,0.000436544384342801,0.000374202283852907,3827,"tags=50%, list=33%, signal=34%","64764/714/7846/291/5714/27089/10476/56901/7384/4701/1460/5290/5706/3312/522/539/4719/518/857/2534/468/3800/4728/7388/374291/9167/4714/5702/10975/54205/4718/513/5704/5594/509/84790/4697/4711/5719/1345/4717/5688/10105/1537/4684/5566/4706/4708/5687/4715/9451/1386/5705/5713/6389/7277/5684/6390/7419/1388/3309/5709/5685/5707/498/347733/5708/9861/3915/5602/2902/4698/5682/126328/4724/4710/5710/89953/5700/5601/4696/4723/4722/5296/5701/317/4851/5718/10381/4726/4704/581/7280/5692/2932/5599",1,"Peak"
